identificador_info|identificador_secao|identificador_coisa|ordem|texto|informacao_complementar|link
|secao_onde_compra|tela|1|Mercado Livre||https://www.mercadolivre.com.br/tela-para-janelas-sob-medidas-com-velcro-em-toda-a-extensao/up/MLBU1096423000
info018|secao_detalhes|airfryer|1|<b>Marca/modelo</b>:|Mondial/AF-55i Grand Family Inox 5,5L|
info019|secao_detalhes|micro|1|<b>Marca/modelo</b>:|CONSUL/CMS45ARANA 32L ESP (190630-5 7891129250819)|
info020|secao_detalhes|secadora|1|<b>Marca/modelo</b>:|Mueller/Solaris 8 Kg - 110 V|
info021|secao_detalhes|exemplo1|1|<b>Marca/modelo</b>:|A1/B1|
info022|secao_detalhes|exemplo2|1|<b>Marca/modelo</b>:|A2/B2|
info023|secao_detalhes|whey|1|<b>Validade</b>:|10/2026|
info024|secao_detalhes|filtro|1|<b>Modelo do refil:</b>|Qualquer um compatível, como este do Mercado Livre (clique)|https://www.mercadolivre.com.br/2-refil-compatvel-consul-facilite-cpc30-cpc3134-cpb35-cpb36/up/MLBU1475503608?pdp_filters=item_id%3AMLB5077468108&from=gshop&matt_tool=81786962&matt_internal_campaign_id=350945267&matt_word=&matt_source=google&matt_campaign_id=22060114741&matt_ad_group_id=184593934553&matt_match_type=&matt_network=g&matt_device=c&matt_creative=766617516878&matt_keyword=&matt_ad_position=&matt_ad_type=pla&matt_merchant_id=5400704959&matt_product_id=MLBU1475503608&matt_product_partition_id=2437725752772&matt_target_id=pla-2437725752772&cq_src=google_ads&cq_cmp=22060114741&cq_net=g&cq_plt=gp&cq_med=pla&gad_source=1&gad_campaignid=22060114741&gclid=Cj0KCQjwoMXQBhDcARIsAH-eEtv5If9RH4PnS-EeKVNmL5Sf1YHGdxPOsCZyuehfzzRbLcHq2yOQqRMaAuQ0EALw_wcB
|secao_detalhes|ferro|2|Funciona tanto na horizontal (na tábua de passar) quanto vertical||
info025|secao_detalhes|ferro|1|<b>Marca/modelo</b>:|Black and Decker/FX2200|
info026|secao_detalhes|box-cama-travesseiros|1|<b>Marca/modelo do colchão</b>:||
info027|secao_detalhes|box-cama-travesseiros|2|Diferença entre densidades do colchão|<i>Texto explicando a diferença entre colchão D26 e D23</i>|https://estrelamoveis.com.br/blog/diferenca-entre-colchao-d23-e-d26/?srsltid=AfmBOoqxzcv2ZZs-8twNXSZjACnc_uUerXFjD11YaqaUS8yy-KTEZJoj
info028|secao_detalhes|vaporizador|2|Funciona tanto na horizontal (na tábua de passar) quanto vertical. Dá para passar no próprio cabide. Bom para blazer, camisa social mas passa qualquer tipo de roupa, além de servidor como higienizador a vapor.||
|secao_detalhes|vaporizador|1|<b>Marca/modelo</b>:|Black and Decker/BDV2000V|https://eletro.blackanddecker.com.br/produto/bdv2000v-br/vaporizador-portatil-de-roupas-e-higienizador-127v
info029|secao_detalhes|fragmentadora|2|Capacidade de armazenamento de papeis:|13L (35cm de altura, 28 de largura e 15 cm de profundidade)|
info030|secao_detalhes|fragmentadora|1|<b>Marca/modelo:</b>:|CounterTech/CD220P 6 FOLHAS 13 LITROS|
info031|secao_detalhes|tacho|1|Capacidade:|9 litros|
info032|secao_detalhes|ventiladorzinho|1|<b>Marca/modelo:</b>:|Ventisol/Clip (clique aqui para ver mais detalhes do ventilador)|https://www.lojaeletrica.com.br/ventilador-mesa-20cm-branco-e-azul-127v-clip-ventisol.html?srsltid=AfmBOoqh8I33x3gnYK68LEf1hG343Y0x14wWoGYHqYoUuG3gnLmJp0x_
info033|secao_detalhes|secadora-de-salada|1|Para quê serve e como usa?|Veja neste vídeo este modelo similar|https://www.youtube.com/shorts/U4JF_HknkjI
|secao_detalhes|roupeiro|1|Marca/Modelo:|Roupeiro Flash II 06 Portas Nogal / Vanilla Touch 62920-108 - Demóbile|
